granule,start,end,cloud_cover,size_mb,download_nc
EMIT_L2B_MIN_001_20230201T062411_2303205_010,2023-02-01T06:24:11.000Z,2023-02-01T06:24:23.000Z,1,80.3,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230201T062411_2303205_010/EMIT_L2B_MIN_001_20230201T062411_2303205_010.nc
EMIT_L2B_MIN_001_20230201T062423_2303205_011,2023-02-01T06:24:23.000Z,2023-02-01T06:24:34.000Z,1,88.8,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230201T062423_2303205_011/EMIT_L2B_MIN_001_20230201T062423_2303205_011.nc
EMIT_L2B_MIN_001_20230204T053543_2303504_003,2023-02-04T05:35:43.000Z,2023-02-04T05:35:55.000Z,1,97.1,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230204T053543_2303504_003/EMIT_L2B_MIN_001_20230204T053543_2303504_003.nc
EMIT_L2B_MIN_001_20230205T044744_2303604_001,2023-02-05T04:47:44.000Z,2023-02-05T04:47:56.000Z,1,81.6,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230205T044744_2303604_001/EMIT_L2B_MIN_001_20230205T044744_2303604_001.nc
EMIT_L2B_MIN_001_20230215T094653_2304606_019,2023-02-15T09:46:53.000Z,2023-02-15T09:47:05.000Z,1,82.5,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230215T094653_2304606_019/EMIT_L2B_MIN_001_20230215T094653_2304606_019.nc
EMIT_L2B_MIN_001_20230215T094729_2304606_022,2023-02-15T09:47:29.000Z,2023-02-15T09:47:41.000Z,1,89.2,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230215T094729_2304606_022/EMIT_L2B_MIN_001_20230215T094729_2304606_022.nc
EMIT_L2B_MIN_001_20230218T085750_2304906_039,2023-02-18T08:57:50.000Z,2023-02-18T08:58:02.000Z,1,93.4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230218T085750_2304906_039/EMIT_L2B_MIN_001_20230218T085750_2304906_039.nc
EMIT_L2B_MIN_001_20230218T085802_2304906_040,2023-02-18T08:58:02.000Z,2023-02-18T08:58:14.000Z,1,89.2,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230218T085802_2304906_040/EMIT_L2B_MIN_001_20230218T085802_2304906_040.nc
EMIT_L2B_MIN_001_20230218T085850_2304906_044,2023-02-18T08:58:50.000Z,2023-02-18T08:59:01.000Z,1,89.4,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230218T085850_2304906_044/EMIT_L2B_MIN_001_20230218T085850_2304906_044.nc
EMIT_L2B_MIN_001_20230223T063454_2305404_030,2023-02-23T06:34:54.000Z,2023-02-23T06:35:06.000Z,1,83.6,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230223T063454_2305404_030/EMIT_L2B_MIN_001_20230223T063454_2305404_030.nc
EMIT_L2B_MIN_001_20230226T054837_2305704_029,2023-02-26T05:48:37.000Z,2023-02-26T05:48:49.000Z,1,87.9,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/EMITL2BMIN.001/EMIT_L2B_MIN_001_20230226T054837_2305704_029/EMIT_L2B_MIN_001_20230226T054837_2305704_029.nc
